sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,class,host_class
11,python,switch_statements,django,/Users/a1-6/Code/Project/Python_Project/django,django/contrib/admin/utils.py,"display_for_value(value, empty_value_display, boolean=False)",438,456,8,"/Users/a1-6/Code/Project/Python_Project/django/django/contrib/admin/utils.py:method=display_for_value(value, empty_value_display, boolean=False)|line=438",0,switches=1;kind=if_elif;branches=8,,
12,python,switch_statements,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/utils/shell.py,_get_activate_script(self),148,162,6,/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/utils/shell.py:method=_get_activate_script(self)|line=148,0,switches=1;kind=if_elif;branches=6,Shell,
13,python,switch_statements,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/auth.py,"build_digest_header(self, method: str, url: str)",157,266,4,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/auth.py:method=build_digest_header(self, method: str, url: str)|line=157",0,switches=2;kind=if_elif;branches=4,HTTPDigestAuth,
14,python,switch_statements,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/commands/settings.py,"run(self, args: list[str], opts: argparse.Namespace)",49,65,5,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/commands/settings.py:method=run(self, args: list[str], opts: argparse.Namespace)|line=49",0,switches=1;kind=if_elif;branches=5,Command,
15,python,switch_statements,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/websocket.py,"_handle_message(self, opcode: int, data: bytes)",1216,1265,6,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/websocket.py:method=_handle_message(self, opcode: int, data: bytes)|line=1216",0,switches=1;kind=if_elif;branches=6,WebSocketProtocol13,
16,python,switch_statements,django,/Users/a1-6/Code/Project/Python_Project/django,django/contrib/gis/utils/ogrinspect.py,"_ogrinspect(data_source, model_name, geom_name=""geom"", layer_key=0, srid=None, multi_geom=False, name_field=None, imports=True, decimal=False, blank=False, null=False,)",129,267,8,"/Users/a1-6/Code/Project/Python_Project/django/django/contrib/gis/utils/ogrinspect.py:method=_ogrinspect(data_source, model_name, geom_name=""geom"", layer_key=0, srid=None, multi_geom=False, name_field=None, imports=True, decimal=False, blank=False, null=False,)|line=129",0,switches=3;kind=if_elif;branches=8,,
17,python,switch_statements,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/console/commands/version.py,"increment_version(self, version: str, rule: str, next_phase: bool = False)",95,128,5,"/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/console/commands/version.py:method=increment_version(self, version: str, rule: str, next_phase: bool = False)|line=95",0,switches=1;kind=if_elif;branches=5,VersionCommand,
18,python,switch_statements,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/__init__.py,"check_compatibility(urllib3_version: str, chardet_version: str | None, charset_normalizer_version: str | None,)",60,96,3,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/__init__.py:method=check_compatibility(urllib3_version: str, chardet_version: str | None, charset_normalizer_version: str | None,)|line=60",0,switches=1;kind=if_elif;branches=3,,
19,python,switch_statements,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/exporters.py,"_export_xml_field(self, name: str, serialized_value: Any, depth: int)",203,221,4,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/exporters.py:method=_export_xml_field(self, name: str, serialized_value: Any, depth: int)|line=203",0,switches=1;kind=if_elif;branches=4,XmlItemExporter,
20,python,switch_statements,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/escape.py,recursive_unicode(obj: Any),266,280,5,/Users/a1-6/Code/Project/Python_Project/tornado/tornado/escape.py:method=recursive_unicode(obj: Any)|line=266,0,switches=1;kind=if_elif;branches=5,,
21,python,switch_statements,django,/Users/a1-6/Code/Project/Python_Project/django,django/db/backends/sqlite3/_functions.py,"_sqlite_datetime_trunc(lookup_type, dt, tzname, conn_tzname)",196,224,8,"/Users/a1-6/Code/Project/Python_Project/django/django/db/backends/sqlite3/_functions.py:method=_sqlite_datetime_trunc(lookup_type, dt, tzname, conn_tzname)|line=196",0,switches=1;kind=if_elif;branches=8,,
22,python,switch_statements,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/console/io/inputs/run_argv_input.py,_parse(self),53,83,5,/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/console/io/inputs/run_argv_input.py:method=_parse(self)|line=53,0,switches=1;kind=if_elif;branches=5,RunArgvInput,
23,python,switch_statements,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/adapters.py,"proxy_manager_for(self, proxy: str, **proxy_kwargs: Any)",269,305,3,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/adapters.py:method=proxy_manager_for(self, proxy: str, **proxy_kwargs: Any)|line=269",0,switches=1;kind=if_elif;branches=3,HTTPAdapter,
24,python,switch_statements,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/exporters.py,"_get_serialized_fields(self, item: Any, default_value: Any = None, include_empty: bool | None = None)",74,110,4,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/exporters.py:method=_get_serialized_fields(self, item: Any, default_value: Any = None, include_empty: bool | None = None)|line=74",0,switches=1;kind=if_elif;branches=4,BaseItemExporter,
25,python,switch_statements,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/web.py,"_convert_header_value(self, value: _HeaderTypes)",404,426,5,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/web.py:method=_convert_header_value(self, value: _HeaderTypes)|line=404",0,switches=1;kind=if_elif;branches=5,RequestHandler,
26,python,switch_statements,django,/Users/a1-6/Code/Project/Python_Project/django,django/db/migrations/autodetector.py,"check_dependency(self, operation, dependency)",422,483,8,"/Users/a1-6/Code/Project/Python_Project/django/django/db/migrations/autodetector.py:method=check_dependency(self, operation, dependency)|line=422",0,switches=1;kind=if_elif;branches=8,MigrationAutodetector,
27,python,switch_statements,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/installation/executor.py,"_install(self, operation: Install | Update)",540,583,5,"/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/installation/executor.py:method=_install(self, operation: Install | Update)|line=540",0,switches=1;kind=if_elif;branches=5,Executor,
28,python,switch_statements,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/utils.py,"_validate_header_part(header: tuple[str | bytes, str | bytes], header_part: str | bytes, header_validator_index: int,)",1096,1117,3,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/utils.py:method=_validate_header_part(header: tuple[str | bytes, str | bytes], header_part: str | bytes, header_validator_index: int,)|line=1096",0,switches=1;kind=if_elif;branches=3,,
29,python,switch_statements,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/http/headers.py,"normvalue(self, value: _RawValue | Iterable[_RawValue])",47,59,4,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/http/headers.py:method=normvalue(self, value: _RawValue | Iterable[_RawValue])|line=47",0,switches=1;kind=if_elif;branches=4,Headers,
30,python,switch_statements,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/httputil.py,"format_timestamp(ts: int | float | tuple | time.struct_time | datetime.datetime,)",1095,1116,4,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/httputil.py:method=format_timestamp(ts: int | float | tuple | time.struct_time | datetime.datetime,)|line=1095",0,switches=1;kind=if_elif;branches=4,,
