sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test
11,python,long_parameter_list,django,/Users/a1-6/Code/Project/Python_Project/django,django/forms/models.py,"modelformset_factory(model, form=ModelForm, formfield_callback=None, formset=BaseModelFormSet, extra=1, can_delete=False, can_order=False, max_num=None, fields=None, exclude=None, widgets=None, validate_max=False, localized_fields=None, labels=None, help_texts=None, error_messages=None, min_num=None, validate_min=False, field_classes=None, absolute_max=None, can_delete_extra=True, renderer=None, edit_only=False,)",1000,1065,23,"/Users/a1-6/Code/Project/Python_Project/django/django/forms/models.py:method=modelformset_factory(model, form=ModelForm, formfield_callback=None, formset=BaseModelFormSet, extra=1, can_delete=False, can_order=False, max_num=None, fields=None, exclude=None, widgets=None, validate_max=False, localized_fields=None, labels=None, help_texts=None, error_messages=None, min_num=None, validate_min=False, field_classes=None, absolute_max=None, can_delete_extra=True, renderer=None, edit_only=False,)|line=1000",0
12,python,long_parameter_list,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/inspection/info.py,"__init__(self, *, name: str | None = None, version: str | None = None, summary: str | None = None, requires_dist: list[str] | None = None, requires_python: str | None = None, files: Sequence[Mapping[str, str]] | None = None, yanked: str | bool = False, cache_version: str | None = None,)",69,91,9,"/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/inspection/info.py:method=__init__(self, *, name: str | None = None, version: str | None = None, summary: str | None = None, requires_dist: list[str] | None = None, requires_python: str | None = None, files: Sequence[Mapping[str, str]] | None = None, yanked: str | bool = False, cache_version: str | None = None,)|line=69",0
13,python,long_parameter_list,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/models.py,"prepare(self, method: str | None = None, url: _t.UriType | None = None, headers: Mapping[str, str | bytes] | None = None, files: _t.FilesType = None, data: _t.DataType = None, params: _t.ParamsType = None, auth: _t.AuthType = None, cookies: RequestsCookieJar | CookieJar | dict[str, str] | None = None, hooks: _t.HooksInputType | None = None, json: _t.JsonType = None,)",422,449,11,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/models.py:method=prepare(self, method: str | None = None, url: _t.UriType | None = None, headers: Mapping[str, str | bytes] | None = None, files: _t.FilesType = None, data: _t.DataType = None, params: _t.ParamsType = None, auth: _t.AuthType = None, cookies: RequestsCookieJar | CookieJar | dict[str, str] | None = None, hooks: _t.HooksInputType | None = None, json: _t.JsonType = None,)|line=422",0
14,python,long_parameter_list,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/http/request/__init__.py,"__init__(self, url: str, callback: CallbackT | None = None, method: str = ""GET"", headers: Mapping[AnyStr, Any] | Iterable[tuple[AnyStr, Any]] | None = None, body: bytes | str | None = None, cookies: CookiesT | None = None, meta: dict[str, Any] | None = None, encoding: str = ""utf-8"", priority: int = 0, dont_filter: bool = False, errback: Callable[[Failure], Any] | None = None, flags: list[str] | None = None, cb_kwargs: dict[str, Any] | None = None,)",123,237,14,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/http/request/__init__.py:method=__init__(self, url: str, callback: CallbackT | None = None, method: str = ""GET"", headers: Mapping[AnyStr, Any] | Iterable[tuple[AnyStr, Any]] | None = None, body: bytes | str | None = None, cookies: CookiesT | None = None, meta: dict[str, Any] | None = None, encoding: str = ""utf-8"", priority: int = 0, dont_filter: bool = False, errback: Callable[[Failure], Any] | None = None, flags: list[str] | None = None, cb_kwargs: dict[str, Any] | None = None,)|line=123",0
15,python,long_parameter_list,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/web.py,"set_cookie(self, name: str, value: str | bytes, domain: str | None = None, expires: float | tuple | datetime.datetime | None = None, path: str = ""/"", expires_days: float | None = None, # Keyword-only args start here for historical reasons. *, max_age: int | None = None, httponly: bool = False, secure: bool = False, samesite: str | None = None, **kwargs: Any,)",639,740,13,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/web.py:method=set_cookie(self, name: str, value: str | bytes, domain: str | None = None, expires: float | tuple | datetime.datetime | None = None, path: str = ""/"", expires_days: float | None = None, # Keyword-only args start here for historical reasons. *, max_age: int | None = None, httponly: bool = False, secure: bool = False, samesite: str | None = None, **kwargs: Any,)|line=639",0
16,python,long_parameter_list,django,/Users/a1-6/Code/Project/Python_Project/django,django/contrib/contenttypes/forms.py,"generic_inlineformset_factory(model, form=ModelForm, formset=BaseGenericInlineFormSet, ct_field=""content_type"", fk_field=""object_id"", fields=None, exclude=None, extra=3, can_order=False, can_delete=True, max_num=None, formfield_callback=None, validate_max=False, for_concrete_model=True, min_num=None, validate_min=False, absolute_max=None, can_delete_extra=True,)",77,133,18,"/Users/a1-6/Code/Project/Python_Project/django/django/contrib/contenttypes/forms.py:method=generic_inlineformset_factory(model, form=ModelForm, formset=BaseGenericInlineFormSet, ct_field=""content_type"", fk_field=""object_id"", fields=None, exclude=None, extra=3, can_order=False, can_delete=True, max_num=None, formfield_callback=None, validate_max=False, for_concrete_model=True, min_num=None, validate_min=False, absolute_max=None, can_delete_extra=True,)|line=77",0
17,python,long_parameter_list,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/publishing/publisher.py,"publish(self, repository_name: str | None, username: str | None, password: str | None, cert: Path | None = None, client_cert: Path | None = None, dry_run: bool = False, skip_existing: bool = False,)",37,92,8,"/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/publishing/publisher.py:method=publish(self, repository_name: str | None, username: str | None, password: str | None, cert: Path | None = None, client_cert: Path | None = None, dry_run: bool = False, skip_existing: bool = False,)|line=37",0
18,python,long_parameter_list,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/sessions.py,"resolve_redirects(self, resp: Response, req: PreparedRequest, stream: bool = False, timeout: _t.TimeoutType = None, verify: _t.VerifyType = True, cert: _t.CertType = None, proxies: dict[str, str] | None = None, yield_requests: bool = False, **adapter_kwargs: Any,)",186,307,10,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/sessions.py:method=resolve_redirects(self, resp: Response, req: PreparedRequest, stream: bool = False, timeout: _t.TimeoutType = None, verify: _t.VerifyType = True, cert: _t.CertType = None, proxies: dict[str, str] | None = None, yield_requests: bool = False, **adapter_kwargs: Any,)|line=186",0
19,python,long_parameter_list,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/http/response/__init__.py,"follow(self, url: str | Link, callback: CallbackT | None = None, method: str = ""GET"", headers: Mapping[AnyStr, Any] | Iterable[tuple[AnyStr, Any]] | None = None, body: bytes | str | None = None, cookies: CookiesT | None = None, meta: dict[str, Any] | None = None, encoding: str | None = ""utf-8"", priority: int = 0, dont_filter: bool = False, errback: Callable[[Failure], Any] | None = None, cb_kwargs: dict[str, Any] | None = None, flags: list[str] | None = None,)",221,269,14,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/http/response/__init__.py:method=follow(self, url: str | Link, callback: CallbackT | None = None, method: str = ""GET"", headers: Mapping[AnyStr, Any] | Iterable[tuple[AnyStr, Any]] | None = None, body: bytes | str | None = None, cookies: CookiesT | None = None, meta: dict[str, Any] | None = None, encoding: str | None = ""utf-8"", priority: int = 0, dont_filter: bool = False, errback: Callable[[Failure], Any] | None = None, cb_kwargs: dict[str, Any] | None = None, flags: list[str] | None = None,)|line=221",0
20,python,long_parameter_list,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/httpclient.py,"__init__(self, request: HTTPRequest, code: int, headers: httputil.HTTPHeaders | None = None, buffer: BytesIO | None = None, effective_url: str | None = None, error: BaseException | None = None, request_time: float | None = None, time_info: dict[str, float] | None = None, reason: str | None = None, start_time: float | None = None,)",629,669,11,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/httpclient.py:method=__init__(self, request: HTTPRequest, code: int, headers: httputil.HTTPHeaders | None = None, buffer: BytesIO | None = None, effective_url: str | None = None, error: BaseException | None = None, request_time: float | None = None, time_info: dict[str, float] | None = None, reason: str | None = None, start_time: float | None = None,)|line=629",0
21,python,long_parameter_list,django,/Users/a1-6/Code/Project/Python_Project/django,django/utils/feedgenerator.py,"add_item(self, title, link, description, author_email=None, author_name=None, author_link=None, pubdate=None, comments=None, unique_id=None, unique_id_is_permalink=None, categories=(), item_copyright=None, ttl=None, updateddate=None, enclosures=None, **kwargs,)",101,149,17,"/Users/a1-6/Code/Project/Python_Project/django/django/utils/feedgenerator.py:method=add_item(self, title, link, description, author_email=None, author_name=None, author_link=None, pubdate=None, comments=None, unique_id=None, unique_id_is_permalink=None, categories=(), item_copyright=None, ttl=None, updateddate=None, enclosures=None, **kwargs,)|line=101",0
22,python,long_parameter_list,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/vcs/git/backend.py,"clone(cls, url: str, name: str | None = None, branch: str | None = None, tag: str | None = None, revision: str | None = None, source_root: Path | None = None, clean: bool = False,)",410,473,8,"/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/vcs/git/backend.py:method=clone(cls, url: str, name: str | None = None, branch: str | None = None, tag: str | None = None, revision: str | None = None, source_root: Path | None = None, clean: bool = False,)|line=410",0
23,python,long_parameter_list,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/adapters.py,"send(self, request: PreparedRequest, stream: bool = False, timeout: _t.TimeoutType = None, verify: _t.VerifyType = True, cert: _t.CertType = None, proxies: dict[str, str] | None = None,)",128,151,7,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/adapters.py:method=send(self, request: PreparedRequest, stream: bool = False, timeout: _t.TimeoutType = None, verify: _t.VerifyType = True, cert: _t.CertType = None, proxies: dict[str, str] | None = None,)|line=128",0
24,python,long_parameter_list,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/http/response/__init__.py,"follow_all(self, urls: Iterable[str | Link], callback: CallbackT | None = None, method: str = ""GET"", headers: Mapping[AnyStr, Any] | Iterable[tuple[AnyStr, Any]] | None = None, body: bytes | str | None = None, cookies: CookiesT | None = None, meta: dict[str, Any] | None = None, encoding: str | None = ""utf-8"", priority: int = 0, dont_filter: bool = False, errback: Callable[[Failure], Any] | None = None, cb_kwargs: dict[str, Any] | None = None, flags: list[str] | None = None,)",271,316,14,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/http/response/__init__.py:method=follow_all(self, urls: Iterable[str | Link], callback: CallbackT | None = None, method: str = ""GET"", headers: Mapping[AnyStr, Any] | Iterable[tuple[AnyStr, Any]] | None = None, body: bytes | str | None = None, cookies: CookiesT | None = None, meta: dict[str, Any] | None = None, encoding: str | None = ""utf-8"", priority: int = 0, dont_filter: bool = False, errback: Callable[[Failure], Any] | None = None, cb_kwargs: dict[str, Any] | None = None, flags: list[str] | None = None,)|line=271",0
25,python,long_parameter_list,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/httputil.py,"__init__(self, method: str | None = None, uri: str | None = None, version: str = ""HTTP/1.0"", headers: HTTPHeaders | None = None, body: bytes | None = None, host: str | None = None, files: dict[str, list[HTTPFile]] | None = None, connection: HTTPConnection | None = None, start_line: RequestStartLine | None = None, server_connection: object | None = None,)",478,545,11,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/httputil.py:method=__init__(self, method: str | None = None, uri: str | None = None, version: str = ""HTTP/1.0"", headers: HTTPHeaders | None = None, body: bytes | None = None, host: str | None = None, files: dict[str, list[HTTPFile]] | None = None, connection: HTTPConnection | None = None, start_line: RequestStartLine | None = None, server_connection: object | None = None,)|line=478",0
26,python,long_parameter_list,django,/Users/a1-6/Code/Project/Python_Project/django,django/contrib/admin/views/main.py,"__init__(self, request, model, list_display, list_display_links, list_filter, date_hierarchy, search_fields, list_select_related, list_per_page, list_max_show_all, list_editable, model_admin, sortable_by, search_help_text,)",57,131,15,"/Users/a1-6/Code/Project/Python_Project/django/django/contrib/admin/views/main.py:method=__init__(self, request, model, list_display, list_display_links, list_filter, date_hierarchy, search_fields, list_select_related, list_per_page, list_max_show_all, list_editable, model_admin, sortable_by, search_help_text,)|line=57",0
27,python,long_parameter_list,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/console/commands/show.py,"_display_tree(self, io: IO, dependency: Dependency, installed_packages: list[Package], packages_in_tree: list[NormalizedName], previous_tree_bar: str = ""├"", level: int = 1,)",460,514,7,"/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/console/commands/show.py:method=_display_tree(self, io: IO, dependency: Dependency, installed_packages: list[Package], packages_in_tree: list[NormalizedName], previous_tree_bar: str = ""├"", level: int = 1,)|line=460",0
28,python,long_parameter_list,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/adapters.py,"send(self, request: PreparedRequest, stream: bool = False, timeout: _t.TimeoutType = None, verify: _t.VerifyType = True, cert: _t.CertType = None, proxies: dict[str, str] | None = None,)",636,750,7,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/adapters.py:method=send(self, request: PreparedRequest, stream: bool = False, timeout: _t.TimeoutType = None, verify: _t.VerifyType = True, cert: _t.CertType = None, proxies: dict[str, str] | None = None,)|line=636",0
29,python,long_parameter_list,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/http/response/text.py,"follow(self, url: str | Link | parsel.Selector, callback: CallbackT | None = None, method: str = ""GET"", headers: Mapping[AnyStr, Any] | Iterable[tuple[AnyStr, Any]] | None = None, body: bytes | str | None = None, cookies: CookiesT | None = None, meta: dict[str, Any] | None = None, encoding: str | None = None, priority: int = 0, dont_filter: bool = False, errback: Callable[[Failure], Any] | None = None, cb_kwargs: dict[str, Any] | None = None, flags: list[str] | None = None,)",168,219,14,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/http/response/text.py:method=follow(self, url: str | Link | parsel.Selector, callback: CallbackT | None = None, method: str = ""GET"", headers: Mapping[AnyStr, Any] | Iterable[tuple[AnyStr, Any]] | None = None, body: bytes | str | None = None, cookies: CookiesT | None = None, meta: dict[str, Any] | None = None, encoding: str | None = None, priority: int = 0, dont_filter: bool = False, errback: Callable[[Failure], Any] | None = None, cb_kwargs: dict[str, Any] | None = None, flags: list[str] | None = None,)|line=168",0
30,python,long_parameter_list,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/options.py,"__init__(self, name: str, default: Any = None, type: type | None = None, help: str | None = None, metavar: str | None = None, multiple: bool = False, file_name: str | None = None, group_name: str | None = None, callback: Callable[[Any], None] | None = None,)",525,550,10,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/options.py:method=__init__(self, name: str, default: Any = None, type: type | None = None, help: str | None = None, metavar: str | None = None, multiple: bool = False, file_name: str | None = None, group_name: str | None = None, callback: Callable[[Any], None] | None = None,)|line=525",0
