sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence
12,python,dead_code,tornado,/opt/projects/python/tornado,tornado/gen.py,"_fake_ctx_run(f, *args, **kw)",156,157,0,"/opt/projects/python/tornado/tornado/gen.py:method=_fake_ctx_run(f, *args, **kw)|line=156",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=2; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=0ca3c5f8279d402b245718d16522bc18a8f5d958
13,python,dead_code,pytest,/opt/projects/python/pytest,src/_pytest/_io/pprint.py,_safe_tuple(t),54,56,0,/opt/projects/python/pytest/src/_pytest/_io/pprint.py:method=_safe_tuple(t)|line=54,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=3; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=856da14ae04ca61dfb61feccbb8292ac66af1346
14,python,dead_code,salt,/opt/projects/python/salt,salt/modules/aixpkg.py,_is_installed_rpm(name),79,84,0,/opt/projects/python/salt/salt/modules/aixpkg.py:method=_is_installed_rpm(name)|line=79,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=6; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=8555feaf892e257f599a0d09ab96d68ffa7ad219
16,python,dead_code,mlflow,/opt/projects/python/mlflow,mlflow/gemini/autolog.py,"_get_keys(dic, keys)",190,195,0,"/opt/projects/python/mlflow/mlflow/gemini/autolog.py:method=_get_keys(dic, keys)|line=190",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=6; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=4c9760f537f25b88e9de9bec9f88bb1bc463e104
17,python,dead_code,dagster,/opt/projects/python/dagster,python_modules/dagster/dagster/_config/errors.py,_get_type_msg(type_in_context),107,111,0,/opt/projects/python/dagster/python_modules/dagster/dagster/_config/errors.py:method=_get_type_msg(type_in_context)|line=107,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=5; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=6803f559237add943df41dd555f76d2eb5113356
18,python,dead_code,airflow,/opt/projects/python/airflow,airflow-core/src/airflow/migrations/db_types.py,_mssql_TIMESTAMP(),33,40,0,/opt/projects/python/airflow/airflow-core/src/airflow/migrations/db_types.py:method=_mssql_TIMESTAMP()|line=33,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=8; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=e2486701a1f97e8fa18ab874b747eceeed542549
20,python,dead_code,dbt-core,/opt/projects/python/dbt-core,core/dbt/contracts/graph/manifest.py,"_expect_value(key, src, old_file, name)",1983,1989,0,"/opt/projects/python/dbt-core/core/dbt/contracts/graph/manifest.py:method=_expect_value(key, src, old_file, name)|line=1983",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=7; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=2fe3dd5c80dd0122c26be99c5ff821e983aedc3d
21,python,dead_code,dask,/opt/projects/python/dask,dask/array/utils.py,_dtype_of(a),419,426,0,/opt/projects/python/dask/dask/array/utils.py:method=_dtype_of(a)|line=419,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=8; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=ade7a30c5a222f838b0f69f5a00c804e4cdf3d19
23,python,dead_code,prefect,/opt/projects/python/prefect,src/prefect/server/api/deployments.py,_multiple_schedules_error(deployment_id),53,62,0,/opt/projects/python/prefect/src/prefect/server/api/deployments.py:method=_multiple_schedules_error(deployment_id)|line=53,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=10; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=48ea5ca1fe98d043c5680ac220b17ff2a09f7340
24,python,dead_code,luigi,/opt/projects/python/luigi,luigi/process.py,_server_already_running(pidfile),70,74,0,/opt/projects/python/luigi/luigi/process.py:method=_server_already_running(pidfile)|line=70,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=5; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=b53a77fe7c21df9e8f9e0d7944fa164d18855ace
26,python,dead_code,ray,/opt/projects/python/ray,python/ray/_private/runtime_env/conda_utils.py,_get_conda_env_name(conda_env_path),84,86,0,/opt/projects/python/ray/python/ray/_private/runtime_env/conda_utils.py:method=_get_conda_env_name(conda_env_path)|line=84,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=3; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=409bc239f3e2c2796000ad99b6c71ee06a2dd0cb
27,python,dead_code,mlflow,/opt/projects/python/mlflow,mlflow/genai/evaluation/utils.py,"_extract_attribute(trace_data, attribute_name)",233,236,0,"/opt/projects/python/mlflow/mlflow/genai/evaluation/utils.py:method=_extract_attribute(trace_data, attribute_name)|line=233",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=4; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=4c9760f537f25b88e9de9bec9f88bb1bc463e104
28,python,dead_code,dagster,/opt/projects/python/dagster,python_modules/dagster/dagster/_core/definitions/declarative_automation/automation_context.py,_has_legacy_condition(condition),44,49,0,/opt/projects/python/dagster/python_modules/dagster/dagster/_core/definitions/declarative_automation/automation_context.py:method=_has_legacy_condition(condition)|line=44,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=6; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=6803f559237add943df41dd555f76d2eb5113356
29,python,dead_code,airflow,/opt/projects/python/airflow,airflow-core/src/airflow/migrations/db_types.py,_mysql_TIMESTAMP(),43,50,0,/opt/projects/python/airflow/airflow-core/src/airflow/migrations/db_types.py:method=_mysql_TIMESTAMP()|line=43,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=8; curation=audit_20260809; validation=whole_snapshot_identifier_refs_outside_definition_zero; selector=runtime_tree_sitter_exact; project_commit=e2486701a1f97e8fa18ab874b747eceeed542549
31,python,dead_code,dbt-core,/opt/projects/python/dbt-core,core/dbt/parser/manifest.py,"_process_sources_for_metric(manifest: Manifest, current_project: str, metric: Metric)",2379,2398,0,"/opt/projects/python/dbt-core/core/dbt/parser/manifest.py:method=_process_sources_for_metric(manifest: Manifest, current_project: str, metric: Metric)|line=2379",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=20; curation=audit_20260809; project_commit=2fe3dd5c80dd0122c26be99c5ff821e983aedc3d; whole_tracked_tree_text_refs=0; tracked_python_ast_defs=1; tracked_python_ast_loads=0; tracked_python_ast_attrs=0; tracked_python_ast_calls=0; tracked_python_ast_parse_errors=0; selector=runtime_tree_sitter_exact
32,python,dead_code,ray,/opt/projects/python/ray,python/ray/tune/utils/resource_updater.py,_to_gb(n_bytes),16,17,0,/opt/projects/python/ray/python/ray/tune/utils/resource_updater.py:method=_to_gb(n_bytes)|line=16,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=2; curation=audit_20260809; project_commit=409bc239f3e2c2796000ad99b6c71ee06a2dd0cb; whole_tracked_tree_text_refs=0; tracked_python_ast_defs=1; tracked_python_ast_loads=0; tracked_python_ast_attrs=0; tracked_python_ast_calls=0; tracked_python_ast_parse_errors=1; selector=runtime_tree_sitter_exact
33,python,dead_code,prefect,/opt/projects/python/prefect,src/integrations/prefect-redis/prefect_redis/lease_storage.py,"_expiration_key(self, lease_id: UUID)",44,46,0,"/opt/projects/python/prefect/src/integrations/prefect-redis/prefect_redis/lease_storage.py:method=_expiration_key(self, lease_id: UUID)|line=44",0,kind=unused_private_function; member_kind=method; visibility=private; refs=0; loc=3; curation=audit_20260809; project_commit=48ea5ca1fe98d043c5680ac220b17ff2a09f7340; whole_tracked_tree_text_refs=0; tracked_python_ast_defs=1; tracked_python_ast_loads=0; tracked_python_ast_attrs=0; tracked_python_ast_calls=0; tracked_python_ast_parse_errors=0; selector=runtime_tree_sitter_exact
34,python,dead_code,dask,/opt/projects/python/dask,dask/dataframe/io/orc/arrow.py,"_get_schema(_o, schema)",29,34,0,"/opt/projects/python/dask/dask/dataframe/io/orc/arrow.py:method=_get_schema(_o, schema)|line=29",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=6; curation=audit_20260809; project_commit=ade7a30c5a222f838b0f69f5a00c804e4cdf3d19; whole_tracked_tree_text_refs=0; tracked_python_ast_defs=1; tracked_python_ast_loads=0; tracked_python_ast_attrs=0; tracked_python_ast_calls=0; tracked_python_ast_parse_errors=0; selector=runtime_tree_sitter_exact
35,python,dead_code,salt,/opt/projects/python/salt,salt/modules/ipset.py,"_members_contain(members, entry)",761,762,0,"/opt/projects/python/salt/salt/modules/ipset.py:method=_members_contain(members, entry)|line=761",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=2; curation=audit_20260809; project_commit=8555feaf892e257f599a0d09ab96d68ffa7ad219; whole_tracked_tree_text_refs=0; tracked_python_ast_defs=1; tracked_python_ast_loads=0; tracked_python_ast_attrs=0; tracked_python_ast_calls=0; tracked_python_ast_parse_errors=4; selector=runtime_tree_sitter_exact
36,python,dead_code,django,/opt/projects/python/django,django/utils/functional.py,__bytes_cast_encoded(self),160,161,0,/opt/projects/python/django/django/utils/functional.py:method=__bytes_cast_encoded(self)|line=160,0,kind=unused_private_function; member_kind=method; visibility=private; refs=0; loc=2; curation=audit_20260809; project_commit=8ccc4c33b91d07cc6bd9c9c9bc905720cb75dbbb; whole_tracked_tree_text_refs=0; tracked_python_ast_defs=1; tracked_python_ast_loads=0; tracked_python_ast_attrs=0; tracked_python_ast_calls=0; tracked_python_ast_parse_errors=1; selector=runtime_tree_sitter_exact
